,Test,Results
,dsResetOutputToSDR_neg      ,PASS
,dsSetHdmiPreference_pos     ,PASS
,dsSetHdmiPreference_neg     ,PASS
,dsGetHdmiPreference_pos     ,FAIL
,dsGetHdmiPreference_neg     ,PASS
,dsGetIgnoreEDIDStatus_pos   ,FAIL
,dsGetIgnoreEDIDStatus_neg   ,PASS
,dsSetBackgroundColor_pos    ,FAIL
,dsSetBackgroundColor_neg    ,PASS
,dsSetForceHDRMode_pos       ,FAIL
,dsSetForceHDRMode_neg       ,PASS
,dsColorDepthCapb_pos        ,FAIL
,dsColorDepthCapb_neg        ,PASS
,dsGetPreferredColorDepth_pos,FAIL
,dsGetPreferredColorDepth_neg,PASS
,dsSetPreferredColorDepth_pos,FAIL
,dsSetPreferredColorDepth_neg,PASS
L2 dsVideoPort - Source,EnableDisabledVideoPorts    ,PASS
,VerifyDisplayAndPortStatus  ,FAIL
,RetrieveVerifySurroundModeCapb  ,FAIL
,VerifySupportedTvRes            ,FAIL
,GetHDRCapabilities              ,FAIL
,GetHDCPStatus                   ,PASS
,VerifyHDCPProtocolStatus        ,FAIL
,SetAndGetHdmiPreference         ,FAIL
,GetColorSpace                   ,FAIL
,GetColorDepth                   ,FAIL
,GetQuantizationRange            ,FAIL
,GetMatrixCoefficients           ,FAIL
,SetAndGetResolution_src         ,FAIL
,SetAndGetPreferredColorDepth_src,PASS
,CheckColorDepthCapb_src,FAIL
,,
,dsAudioPortInit_pos,PASS
,dsAudioPortInit_negs,PASS
,dsAudioPortTerm_poss,PASS
,dsAudioPortTerm_negs,PASS
,dsGetAudioPort_pos s,PASS
,dsGetAudioPort_neg s,PASS
,dsGetAudioFormat_pos,FAIL
,dsGetAudioFormat_neg,FAIL
,dsGetAudioCompression_pos,FAIL
,dsGetAudioCompression_neg,PASS
,dsSetAudioCompression_pos,FAIL
,dsSetAudioCompression_neg,PASS
,dsGetDialogEnhance_pos   ,FAIL
,dsGetDialogEnhance_neg   ,PASS
,dsSetDialogEnhance_pos   ,FAIL
,dsSetDialogEnhance_neg   ,PASS
,dsGetDolbyVolumeMode_pos ,FAIL
,dsGetDolbyVolumeMode_neg ,PASS
,dsSetDolbyVolumeMode_pos ,FAIL
,dsSetDolbyVolumeMode_neg ,PASS
,dsGetIntelliEqMode_pos   ,PASS
,dsGetIntelliEqMode_neg   ,FAIL
,dsSetIntelliEqMode_pos   ,PASS
,dsSetIntelliEqMode_neg   ,FAIL
,dsGetVolumeLeveller_pos  ,FAIL
,dsGetVolumeLeveller_neg  ,PASS
,dsSetVolumeLeveller_pos  ,FAIL
,dsSetVolumeLeveller_neg  ,PASS
,dsGetBassEnhancer_pos    ,PASS
,dsGetBassEnhancer_neg    ,FAIL
,dsSetBassEnhancer_pos    ,PASS
,dsSetBassEnhancer_neg    ,FAIL
,dsIsSurroundDecoderOn_pos,PASS
,dsIsSurroundDecoderOn_neg,FAIL
,dsEnableSurroundDecoder_pos,PASS
,dsEnableSurroundDecoder_neg,PASS
,dsGetDRCMode_pos           ,FAIL
